alpha, cd
0.024333849728892333, 1.9805285118219749
0.0657013942680093, 1.9805285118219749
0.11436909372579397, 1.9805285118219749
0.17033694810224634, 1.9694019471488178
0.23117157242447717, 1.9554937413073712
0.26767234701781567, 1.9082058414464533
0.3017397366382649, 1.7830319888734352
0.323640201394268, 1.7413073713490959
0.3625743609604958, 1.7079276773296244
0.40150852052672353, 1.6745479833101529
0.40150852052672353, 1.6745479833101529
0.43314252517428353, 1.6105702364394991
0.46964329976762204, 1.5549374130737135
0.5134442292796283, 1.4965229485396383
0.5377780790085206, 1.415855354659249
0.5718454686289699, 1.3657858136300416
0.6059128582494191, 1.2851182197496522
0.6764810224632068, 1.1460361613351877
0.7129817970565454, 1.0792767732962447
0.7519159566227731, 1.015299026425591
0.8005836560805578, 0.9012517385257302
0.8784519752130132, 0.7538247566063977
0.9709206041828041, 0.5813630041724617
1.0609558481797057, 0.48678720445062584
1.1412575522850505, 0.40055632823365783
1.228859411309063, 0.3421418636995827
1.3164612703330754, 0.25869262865090403
1.4016297443841985, 0.22809457579972184
1.4940983733539892, 0.19471488178025034
1.5841336173508909, 0.16968011126564672
1.6644353214562357, 0.1752433936022253
1.7593373353989157, 0.21696801112656466
1.8542393493415958, 0.3004172461752434
1.9345410534469405, 0.3477051460361613
2.0172761425251746, 0.42559109874826145
2.1073113865220763, 0.497913769123783
2.1949132455460885, 0.6147426981919332
2.2800817195972116, 0.7315716272600834
2.3676835786212242, 0.890125173852573
2.4528520526723474, 1.043115438108484
2.5404539116963596, 1.226703755215577
2.6256223857474827, 1.3963838664812238
2.7156576297443844, 1.5771905424200277
2.805692873741286, 1.6773296244784421
2.8932947327652987, 1.7468706536856744
2.990630131680868, 1.8636995827538247
3.0709318357862125, 1.944367176634214
3.1439333849728897, 1.9749652294853963
