alpha,cd
0.0243338497288923,0.01947148817802513
0.0657013942680093,0.01947148817802513
0.1143690937257939,0.01947148817802513
0.1703369481022463,0.030598052851182445
0.2311715724244771,0.04450625869262881
0.2676723470178156,0.09179415855354689
0.3017397366382649,0.21696801112656483
0.323640201394268,0.2586926286509039
0.3625743609604958,0.29207232267037564
0.4015085205267235,0.32545201668984713
0.4015085205267235,0.32545201668984713
0.4331425251742835,0.38942976356050085
0.469643299767622,0.4450625869262863
0.5134442292796283,0.5034770514603617
0.5377780790085206,0.5841446453407511
0.5718454686289699,0.6342141863699584
0.6059128582494191,0.7148817802503478
0.6764810224632068,0.8539638386648123
0.7129817970565454,0.9207232267037553
0.7519159566227731,0.984700973574409
0.8005836560805578,1.0987482614742698
0.8784519752130132,1.2461752433936022
0.970920604182804,1.4186369958275384
1.0609558481797057,1.5132127955493742
1.1412575522850503,1.5994436717663423
1.228859411309063,1.6578581363004172
1.3164612703330754,1.741307371349096
1.4016297443841983,1.7719054242002783
1.4940983733539892,1.8052851182197498
1.5841336173508909,1.8303198887343533
1.6644353214562355,1.8247566063977747
1.7593373353989157,1.7830319888734354
1.854239349341596,1.6995827538247565
1.9345410534469405,1.6522948539638387
2.0172761425251746,1.5744089012517386
2.1073113865220763,1.502086230876217
2.1949132455460885,1.3852573018080667
2.280081719597212,1.2684283727399166
2.367683578621224,1.109874826147427
2.4528520526723474,0.956884561891516
2.54045391169636,0.7732962447844229
2.6256223857474827,0.6036161335187762
2.7156576297443844,0.42280945757997235
2.805692873741286,0.3226703755215581
2.8932947327652987,0.2531293463143256
2.990630131680868,0.13630041724617525
3.0709318357862125,0.0556328233657859
3.1439333849728897,0.025034770514603677
